"TOA5","24703","CR1000","24703","CR1000.Std.16","CPU:EL-bouy-1051028.CR1","22030","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","WS_Avg","C_25cm_Avg","DO_25cm_Avg","DOppm25cm_Avg","C_200cm_Avg","DO_200cm_Avg","DOppm_200_Avg","T_0CM_Avg","T_25CM_Avg","T_50CM_Avg","T_100CM_Avg","T_200CM_Avg","T_350CM_Avg"
"TS","RN","Volts","Deg C","mV","Units","Units","Units","Units","Units","Units","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-07 00:00:00",122896,12.88,8.81,1.845,14.18,76.68,7.871,14.22,73.98,7.587,14.12,13.84,13.51,13.38,13.26,13.03
"2019-03-07 00:10:00",122897,12.87,8.88,1.264,14.15,76.37,7.845,14.18,73.52,7.546,14.02,13.74,13.54,13.42,13.26,13.02
"2019-03-07 00:20:00",122898,12.86,8.92,0.847,14.1,75.77,7.79,14.16,72.99,7.494,13.99,13.71,13.55,13.43,13.29,13.03
"2019-03-07 00:30:00",122899,12.85,8.94,0.035,14.08,74.52,7.665,14.14,71.76,7.372,13.93,13.73,13.54,13.44,13.3,13.03
"2019-03-07 00:40:00",122900,12.84,8.99,0,14.06,73.98,7.614,14.1,71.43,7.345,14,13.75,13.55,13.45,13.31,13.03
"2019-03-07 00:50:00",122901,12.84,9.01,0.714,14.04,74.61,7.683,14.08,72.04,7.41,13.97,13.77,13.6,13.46,13.33,13.03
"2019-03-07 01:00:00",122902,12.83,9.03,0.435,14.02,74.96,7.722,14.07,72.63,7.474,13.99,13.79,13.61,13.46,13.34,13.03
"2019-03-07 01:10:00",122903,12.82,9.03,0.178,14.02,75,7.724,14.06,72.8,7.492,14.01,13.83,13.62,13.43,13.35,13.03
"2019-03-07 01:20:00",122904,12.82,9.06,0.879,14.02,74.9,7.715,14.06,72.74,7.487,14.02,13.87,13.65,13.42,13.36,13.03
"2019-03-07 01:30:00",122905,12.81,9.06,0.03,14.01,74.87,7.714,14.05,72.46,7.46,14.04,13.89,13.64,13.39,13.37,13.03
"2019-03-07 01:40:00",122906,12.8,9.08,0.133,13.99,74.28,7.655,14.03,71.98,7.413,14.07,13.92,13.68,13.39,13.38,13.03
"2019-03-07 01:50:00",122907,12.79,9.08,0.52,13.98,74.28,7.658,14.02,71.94,7.41,14.1,13.96,13.68,13.4,13.38,13.03
"2019-03-07 02:00:00",122908,12.79,9.08,1.792,13.96,75.01,7.737,14,72.67,7.489,14.1,14,13.7,13.45,13.43,13.03
"2019-03-07 02:10:00",122909,12.78,9.06,1.15,13.93,75.22,7.764,13.97,72.85,7.512,14.08,13.99,13.75,13.49,13.43,13.02
"2019-03-07 02:20:00",122910,12.77,9.06,0.953,13.93,75.25,7.767,13.97,72.63,7.489,14.07,13.97,13.7,13.53,13.43,13.03
"2019-03-07 02:30:00",122911,12.77,9.06,1.047,13.91,74.89,7.733,13.95,72.5,7.479,14.05,13.97,13.66,13.58,13.41,13.03
"2019-03-07 02:40:00",122912,12.76,9.06,1.498,13.9,74.48,7.692,13.93,72.53,7.486,14.04,13.95,13.6,13.64,13.42,13.03
"2019-03-07 02:50:00",122913,12.76,9.03,1.246,13.87,74.16,7.664,13.91,72.42,7.477,14.02,13.92,13.62,13.67,13.39,13.03
"2019-03-07 03:00:00",122914,12.75,9.03,1.555,13.86,74.22,7.671,13.9,72.41,7.479,14,13.87,13.69,13.64,13.42,13.03
"2019-03-07 03:10:00",122915,12.74,9.01,0.971,13.85,74.54,7.707,13.88,72.44,7.485,13.98,13.87,13.72,13.59,13.37,13.03
"2019-03-07 03:20:00",122916,12.74,8.99,1.441,13.82,74.57,7.715,13.85,72.37,7.483,13.96,13.87,13.76,13.59,13.42,13.02
"2019-03-07 03:30:00",122917,12.73,8.97,1.124,13.79,74.92,7.757,13.83,72.28,7.477,13.94,13.86,13.76,13.65,13.34,13.02
"2019-03-07 03:40:00",122918,12.72,8.94,1.03,13.78,74.87,7.753,13.81,72.28,7.48,13.93,13.84,13.75,13.62,13.32,13.02
"2019-03-07 03:50:00",122919,12.72,8.92,1.061,13.78,74.38,7.703,13.81,72.32,7.483,13.91,13.82,13.72,13.55,13.32,13.03
"2019-03-07 04:00:00",122920,12.71,8.9,1.502,13.76,74.64,7.732,13.79,72.33,7.488,13.9,13.81,13.71,13.5,13.32,13.02
"2019-03-07 04:10:00",122921,12.71,8.88,0.604,13.73,74.76,7.75,13.77,71.98,7.455,13.89,13.81,13.7,13.47,13.29,13.02
"2019-03-07 04:20:00",122922,12.7,8.83,0.369,13.75,73.78,7.645,13.78,71.61,7.415,13.89,13.8,13.7,13.46,13.28,13.02
"2019-03-07 04:30:00",122923,12.7,8.77,0.284,13.75,73.01,7.566,13.79,70.86,7.336,13.89,13.81,13.7,13.45,13.28,13.03
"2019-03-07 04:40:00",122924,12.69,8.7,0.369,13.75,72.83,7.547,13.8,71.28,7.379,13.88,13.8,13.69,13.45,13.28,13.03
"2019-03-07 04:50:00",122925,12.68,8.63,0.291,13.73,73.55,7.624,13.78,71.1,7.362,13.87,13.79,13.68,13.44,13.28,13.02
"2019-03-07 05:00:00",122926,12.68,8.59,1.381,13.7,74.3,7.706,13.75,71.25,7.383,13.86,13.77,13.66,13.44,13.28,13.02
"2019-03-07 05:10:00",122927,12.67,8.52,0.528,13.71,73.72,7.645,13.74,70.88,7.346,13.86,13.77,13.64,13.43,13.27,13.01
"2019-03-07 05:20:00",122928,12.67,8.46,1.173,13.7,73.23,7.596,13.74,70.77,7.334,13.85,13.76,13.63,13.4,13.27,13.02
"2019-03-07 05:30:00",122929,12.66,8.44,1.191,13.69,73.35,7.61,13.73,70.74,7.333,13.84,13.75,13.62,13.39,13.27,13.01
"2019-03-07 05:40:00",122930,12.66,8.41,0.995,13.68,73.23,7.601,13.72,70.8,7.342,13.81,13.73,13.6,13.39,13.26,13.01
"2019-03-07 05:50:00",122931,12.66,8.39,0.435,13.66,73.53,7.634,13.7,70.86,7.351,13.81,13.72,13.6,13.37,13.26,13.01
"2019-03-07 06:00:00",122932,12.65,8.37,0.206,13.65,73.05,7.586,13.7,70.16,7.277,13.79,13.7,13.55,13.37,13.26,13.01
"2019-03-07 06:10:00",122933,12.65,8.37,1.171,13.65,72.96,7.578,13.7,70.44,7.308,13.78,13.69,13.57,13.37,13.25,13.01
"2019-03-07 06:20:00",122934,12.65,8.37,1.464,13.63,73.1,7.595,13.67,70.71,7.339,13.76,13.67,13.56,13.37,13.26,12.99
"2019-03-07 06:30:00",122935,12.64,8.39,1.22,13.61,73.08,7.595,13.66,70.74,7.345,13.75,13.66,13.55,13.37,13.26,12.99
"2019-03-07 06:40:00",122936,12.74,8.37,1.647,13.6,73.4,7.631,13.64,70.74,7.348,13.75,13.66,13.55,13.37,13.28,13
"2019-03-07 06:50:00",122937,12.82,8.39,1.835,13.58,74.11,7.709,13.61,70.93,7.373,13.73,13.64,13.55,13.37,13.28,13.09
"2019-03-07 07:00:00",122938,12.86,8.37,1.974,13.56,74.15,7.715,13.59,70.85,7.366,13.71,13.63,13.52,13.38,13.28,13.11
