"TOA5","24703","CR1000","24703","CR1000.Std.16","CPU:EL-bouy-1051028.CR1","22030","Table2"
"TIMESTAMP","RECORD","BattV_Min","BattV","PTemp_C","WS_Avg","C_25cm_Avg","DO_25cm_Avg","DOppm25cm_Avg","C_200cm_Avg","DO_200cm_Avg","DOppm_200_Avg","T_0CM_Avg","T_25CM_Avg","T_50CM_Avg","T_100CM_Avg","T_200CM_Avg","T_350CM_Avg"
"TS","RN","Volts","Volts","Deg C","mV","Units","Units","Units","Units","Units","Units","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-07 00:00:00",20482,12.88,12.88,8.81,1.284,14.23,77.57,7.953,14.27,74.3,7.611,14.22,13.89,13.48,13.35,13.27,13.03
"2019-03-07 01:00:00",20483,12.83,12.83,9.03,0.549,14.08,75.04,7.72,14.12,72.39,7.44,13.98,13.75,13.56,13.44,13.31,13.03
"2019-03-07 02:00:00",20484,12.79,12.79,9.08,0.589,14,74.72,7.701,14.04,72.43,7.458,14.06,13.91,13.66,13.41,13.38,13.03
"2019-03-07 03:00:00",20485,12.75,12.75,9.03,1.241,13.9,74.7,7.715,13.94,72.56,7.487,14.04,13.95,13.67,13.59,13.42,13.03
"2019-03-07 04:00:00",20486,12.71,12.71,8.9,1.188,13.8,74.65,7.728,13.83,72.34,7.483,13.94,13.84,13.74,13.59,13.35,13.03
"2019-03-07 05:00:00",20487,12.68,12.68,8.59,0.55,13.74,73.7,7.64,13.78,71.35,7.388,13.88,13.8,13.69,13.45,13.28,13.02
"2019-03-07 06:00:00",20488,12.65,12.65,8.37,0.755,13.68,73.35,7.612,13.72,70.7,7.331,13.83,13.74,13.61,13.39,13.27,13.01
"2019-03-07 07:00:00",20489,12.64,12.86,8.37,1.552,13.6,73.47,7.637,13.64,70.73,7.347,13.75,13.66,13.55,13.37,13.27,13.03
"2019-03-07 08:00:00",20490,12.86,13.7,7.839,1.066,13.5,74.73,7.786,13.54,70.56,7.346,13.65,13.57,13.47,13.4,13.3,13.07
"2019-03-07 09:00:00",20491,13.53,13.54,7.641,1.168,13.45,76.56,7.986,13.48,71.03,7.404,13.59,13.51,13.42,13.44,13.29,13.06
"2019-03-07 10:00:00",20492,13.53,13.54,7.245,1.308,13.39,79.14,8.27,13.44,71.9,7.502,13.54,13.46,13.35,13.42,13.28,13.08
"2019-03-07 11:00:00",20493,13.53,13.58,7.268,2.136,13.31,80.7,8.45,13.35,72.46,7.575,13.46,13.38,13.27,13.37,13.26,13.06
"2019-03-07 12:00:00",20494,13.53,13.55,7.598,2.363,13.28,83.5,8.74,13.32,74.64,7.808,13.42,13.34,13.24,13.37,13.32,13.05
"2019-03-07 13:00:00",20495,13.53,13.54,7.663,1.909,13.26,85.1,8.92,13.31,76.04,7.958,13.4,13.31,13.21,13.33,13.27,13.06
"2019-03-07 14:00:00",20496,13.54,13.56,7.882,2.065,13.26,87.5,9.17,13.31,78.38,8.2,13.39,13.3,13.2,13.32,13.18,13.04
"2019-03-07 15:00:00",20497,13.53,13.55,7.686,1.576,13.24,85.9,9.01,13.29,77.91,8.16,13.39,13.3,13.2,13.33,13.18,13
"2019-03-07 16:00:00",20498,13.53,13.64,7.421,1.179,13.23,85.6,8.98,13.28,78.29,8.2,13.37,13.28,13.17,13.27,13.15,12.96
"2019-03-07 17:00:00",20499,13.53,13.56,6.439,0.795,13.19,83.3,8.74,13.22,77.01,8.07,13.34,13.26,13.16,13.25,13.07,12.91
"2019-03-07 18:00:00",20500,13.54,13.6,5.851,1.285,13.1,79.49,8.36,13.13,75.52,7.933,13.26,13.19,13.09,13.23,13.04,12.92
"2019-03-07 19:00:00",20501,13.42,13.42,4.859,0.784,13.01,76.7,8.08,13.05,73.6,7.745,13.18,13.11,13.02,13.16,13.05,12.91
"2019-03-07 20:00:00",20502,13.3,13.3,4.256,0.352,12.93,74.16,7.827,12.97,71.23,7.51,13.1,13.02,12.93,13.07,13.06,12.89
"2019-03-07 21:00:00",20503,13.22,13.22,4.622,0.151,12.88,71.98,7.605,12.92,69.32,7.316,13.05,12.97,12.87,13.01,12.99,12.85
"2019-03-07 22:00:00",20504,13.14,13.14,5.225,1.964,12.81,72.54,7.675,12.87,69.2,7.313,12.98,12.9,12.8,12.93,12.95,12.82
"2019-03-07 23:00:00",20505,13.06,13.06,5.42,2.212,12.73,73.75,7.817,12.79,70.44,7.456,12.9,12.82,12.72,12.85,12.87,12.7
"2019-03-08 00:00:00",20506,12.99,12.99,5.246,2.538,12.63,73.69,7.829,12.69,70.22,7.451,12.79,12.71,12.61,12.74,12.69,12.5
"2019-03-08 01:00:00",20507,12.93,12.93,4.966,1.657,12.51,72.95,7.771,12.57,69.52,7.396,12.68,12.6,12.51,12.63,12.51,12.27
"2019-03-08 02:00:00",20508,12.87,12.87,4.837,1.326,12.44,72.41,7.725,12.5,68.86,7.338,12.62,12.54,12.44,12.57,12.47,12.21
"2019-03-08 03:00:00",20509,12.83,12.83,4.771,2.51,12.34,72.46,7.749,12.4,68.49,7.313,12.51,12.43,12.34,12.46,12.31,12.25
"2019-03-08 04:00:00",20510,12.78,12.78,4.728,2.073,12.23,71.5,7.664,12.29,67.67,7.245,12.4,12.33,12.23,12.36,12.33,12.24
"2019-03-08 05:00:00",20511,12.75,12.75,4.771,0.652,12.16,69.68,7.482,12.22,66.15,7.093,12.34,12.26,12.16,12.29,12.26,12.16
"2019-03-08 06:00:00",20512,12.71,12.71,4.966,0.977,12.11,69.03,7.42,12.16,65.76,7.061,12.27,12.2,12.11,12.24,12.21,12.14
"2019-03-08 07:00:00",20513,12.7,12.97,5.16,1.609,12.03,70.29,7.57,12.08,66.1,7.11,12.2,12.13,12.03,12.14,12.07,12.1
"2019-03-08 08:00:00",20514,12.99,13.62,5.528,1.199,11.94,73.6,7.942,12,67.39,7.263,12.12,12.04,11.94,12.07,11.94,11.89
"2019-03-08 09:00:00",20515,13.54,13.57,6.156,2.583,11.89,82.6,8.92,11.98,72.06,7.769,12.02,11.92,11.79,11.86,11.8,12.03
"2019-03-08 10:00:00",20516,13.54,13.56,6.787,2.002,11.87,80.8,8.73,11.93,71.31,7.697,12.02,11.94,11.84,11.96,11.96,12.06
"2019-03-08 11:00:00",20517,13.54,13.56,8.04,1.386,11.95,85.7,9.24,12.03,75.9,8.17,12.06,11.97,11.85,11.97,11.99,12.09
