"TOA5","24703","CR1000","24703","CR1000.Std.16","CPU:EL-bouy-1051028.CR1","22030","Table3"
"TIMESTAMP","RECORD","BattV","PTemp_C","WS_Avg","C_25cm_Avg","DO_25cm_Avg","DOppm25cm_Avg","C_200cm_Avg","DO_200cm_Avg","DOppm_200_Avg","T_0CM_Avg","T_25CM_Avg","T_50CM_Avg","T_100CM_Avg","T_200CM_Avg","T_350CM_Avg"
"TS","RN","Volts","Deg C","mV","Units","Units","Units","Units","Units","Units","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-07 00:00:00",853,12.88,8.81,1.032,14.1,80.4,8.26,14.18,75.24,7.719,14.08,13.84,13.52,13.49,13.31,13.07
"2019-03-08 00:00:00",854,12.99,5.246,1.303,13.33,77.67,8.12,13.38,72.93,7.62,13.47,13.38,13.26,13.28,13.18,12.96
"2019-03-09 00:00:00",855,12.97,8.48,1.554,12.31,79.83,8.54,12.38,73.44,7.845,12.44,12.33,12.19,12.16,11.97,12.06
"2019-03-10 00:00:00",856,12.91,11.06,1.015,12.54,82.6,8.79,12.64,76.42,8.11,12.51,12.3,12.08,12.07,11.96,11.87
"2019-03-11 00:00:00",857,12.89,9.66,2.37,13.37,83.9,8.76,13.48,79.83,8.32,13.32,13,12.57,12.46,12.32,12.16
"2019-03-12 00:00:00",858,12.92,7.552,1.197,13.68,85.5,8.87,13.74,82.2,8.52,13.78,13.61,13.2,12.77,12.48,12.28
"2019-03-13 00:00:00",859,12.9,7.159,1.599,14.2,86,8.82,14.27,83.1,8.51,14.27,14.07,13.58,13.21,12.75,12.48
"2019-03-14 00:00:00",860,13,7.487,1.878,13.49,83.1,8.67,13.53,80,8.33,13.64,13.55,13.4,13.36,12.91,12.62
"2019-03-15 00:00:00",861,12.94,9.66,1.579,13.17,83.2,8.73,13.25,79.79,8.36,13.1,12.82,12.59,12.59,12.51,12.37
"2019-03-16 00:00:00",862,12.92,4.728,1.233,13.21,84,8.81,13.26,81.2,8.5,13.32,13.15,12.92,12.82,12.63,12.43
"2019-03-17 00:00:00",863,12.97,6.396,1.929,12.14,80.6,8.66,12.18,77.68,8.34,12.3,12.22,12.12,12.25,12.23,12.09
"2019-03-18 00:00:00",864,12.92,10.4,1.372,11.9,81.9,8.84,11.98,78.9,8.5,12.03,11.91,11.74,11.65,11.45,11.39
"2019-03-19 00:00:00",865,12.89,9.91,0.742,12.85,83.4,8.81,12.94,80.7,8.51,12.71,12.42,12.05,11.83,11.6,11.51
"2019-03-20 00:00:00",866,12.91,10.65,1.271,13.32,84.2,8.8,13.43,80.9,8.44,13.34,13.07,12.47,12,11.76,11.64
"2019-03-21 00:00:00",867,12.82,9.93,0.87,15.22,83.9,8.43,15.41,81.1,8.1,14.59,13.93,13.02,12.27,11.92,11.77
"2019-03-22 00:00:00",868,12.81,12,0.754,17.82,85.1,8.09,18.01,82.6,7.815,16.69,15.23,13.81,12.57,12.07,11.91
"2019-03-23 00:00:00",869,12.9,11.18,0.915,17.48,83.8,8.02,17.51,80.2,7.669,17.4,16.14,14.35,12.77,12.18,12.02
"2019-03-24 00:00:00",870,12.96,4.728,1.426,16.18,83.9,8.25,16.22,80,7.86,16.27,16.05,15.06,13.06,12.27,12.1
"2019-03-25 00:00:00",871,12.94,9.93,1.544,14.49,82.2,8.38,14.53,78.18,7.964,14.62,14.51,14.37,13.84,12.41,12.22
"2019-03-26 00:00:00",872,12.95,6.199,0.701,13.9,81.7,8.44,13.95,77.27,7.972,14.04,13.94,13.83,13.74,12.76,12.39
"2019-03-27 00:00:00",873,12.9,6.265,0.956,14.54,82.2,8.37,14.72,78.41,7.943,14.32,13.97,13.61,13.1,12.45,12.22
"2019-03-28 00:00:00",874,12.86,8.92,0.915,16.07,85.2,8.4,16.2,81.9,8.04,15.58,14.77,13.99,13.17,12.49,12.26
"2019-03-29 00:00:00",875,12.84,10.29,0.9,17.43,85.7,8.21,17.54,83.5,7.973,17.01,15.92,14.48,13.36,12.68,12.45
"2019-03-30 00:00:00",876,12.86,11.36,0.793,17.47,84.2,8.06,17.51,81.6,7.798,17.39,16.63,15.1,13.53,12.81,12.56
"2019-03-31 00:00:00",877,12.9,11.22,1.321,17.16,83.9,8.08,17.2,81,7.795,17.11,16.75,15.69,13.8,12.92,12.68
"2019-04-01 00:00:00",878,12.96,8.1,1.042,16.24,82,8.05,16.26,79.4,7.795,16.37,16.24,15.8,14.03,12.98,12.75
"2019-04-02 00:00:00",879,12.99,7.225,0.811,14.61,80.3,8.16,14.64,76.8,7.806,14.75,14.66,14.52,14.17,13.03,12.81
"2019-04-03 00:00:00",880,12.95,10.99,1.527,13.89,79.93,8.25,13.94,76.22,7.861,13.98,13.86,13.72,13.67,13.2,12.94
"2019-04-04 00:00:00",881,12.85,12,0.465,14.49,82.6,8.42,14.59,80.2,8.16,14.23,13.87,13.66,13.59,13.27,13.04
"2019-04-05 00:00:00",882,12.88,12.81,0.894,15.43,84.5,8.44,15.54,82,8.17,15.22,14.69,14.06,13.65,13.37,13.15
"2019-04-06 00:00:00",883,12.86,11.89,0.713,16.39,85.1,8.32,16.47,82.1,8.03,16.21,15.37,14.56,13.77,13.45,13.24
"2019-04-07 00:00:00",884,12.84,9.52,0.931,17.68,85.3,8.13,17.75,82.7,7.868,17.31,16.52,15.35,13.97,13.51,13.27
"2019-04-08 00:00:00",885,12.86,12.72,0.929,18.3,85.5,8.04,18.35,81.9,7.697,18.15,17.33,15.98,14.27,13.62,13.36
"2019-04-09 00:00:00",886,12.88,10.86,0.851,18.39,84.5,7.935,18.45,80.4,7.533,18.32,17.66,16.31,14.51,13.7,13.47
"2019-04-10 00:00:00",887,12.84,13.12,0.985,19.15,84.5,7.816,19.24,81.4,7.5,18.43,17.37,16.45,14.77,13.8,13.54
"2019-04-11 00:00:00",888,12.81,13.94,1.678,19.69,84.5,7.727,19.74,82.4,7.527,19.19,18.18,17.13,15.17,14.01,13.7
"2019-04-12 00:00:00",889,12.84,13.85,1.831,20.15,84.2,7.626,20.22,81.6,7.385,19.9,18.96,17.88,15.51,14.18,13.86
"2019-04-13 00:00:00",890,12.9,12.88,1.811,20.12,82.7,7.499,20.12,79.9,7.244,20.12,19.8,19,15.85,14.36,14.08
"2019-04-14 00:00:00",891,12.88,12.86,1.116,19.57,82,7.517,19.58,78.94,7.235,19.62,19.42,18.82,16.38,14.44,14.14
"2019-04-15 00:00:00",892,12.88,12.07,0.801,18.88,81.1,7.541,18.91,78.14,7.259,18.86,18.53,18.06,16.74,14.58,14.17
"2019-04-16 00:00:00",893,12.96,12.02,0.894,17.49,80.7,7.724,17.5,77.18,7.383,17.61,17.49,17.34,16.86,14.73,14.17
"2019-04-17 00:00:00",894,12.92,11.45,0.531,16.98,81.9,7.916,17.04,78.11,7.54,16.95,16.73,16.53,16.36,14.86,14.45
"2019-04-18 00:00:00",895,12.92,11.22,0.803,17.09,83.4,8.04,17.14,78.86,7.596,17.12,16.86,16.47,16.2,15.2,14.65
"2019-04-19 00:00:00",896,12.88,12.93,1.026,17.59,84.4,8.06,17.66,78.66,7.494,17.42,16.9,16.41,16.06,15.44,14.98
