"TOA5","24368","CR1000","24368","CR1000.Std.16","CPU:EL-RD1050727.CR1","18094","Table3"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Soil_T_Avg","Rain_05mm_Tot","Rain_01mm_Tot","Solar_q1_Avg","Solar_Wm2_Avg","BattV","Press_bar_Avg","WS_ms_S_WVT","WindDir_D1_WVT"
"TS","RN","Deg C","%","Deg C","Counts/Hz","mm","mV","mV","Volts","mV","meters/second","Deg"
"","","Avg","Avg","Avg","Tot","Tot","Avg","Avg","Smp","Avg","WVc","WVc"
"2019-03-07 00:00:00",946,10.43,95.9,19.64,4,4.5,178,94.1,12.71,813,1.315,88
"2019-03-08 00:00:00",947,5.667,100,19.42,37.5,39.3,101.5,49.5,12.73,813,1.865,157.3
"2019-03-09 00:00:00",948,6.034,99.8,18.41,16,17.1,183.6,99.7,12.74,814,2.487,170.9
"2019-03-10 00:00:00",949,9.83,99.7,18.77,23,24.1,151.2,81.4,12.73,812,1.955,153.4
"2019-03-11 00:00:00",950,11.14,92.3,19.49,4,4.8,312.1,171.9,12.71,812,2.092,200.8
"2019-03-12 00:00:00",951,7.996,97.4,19.72,1,1.6,234.5,128.5,12.74,811,1.369,178.3
"2019-03-13 00:00:00",952,8.03,88.5,19.59,0,0.2,417.6,236.4,12.72,814,1.586,145.8
"2019-03-14 00:00:00",953,5.564,99.7,19.42,7,7.6,87.5,45.01,12.73,816,2.811,173.7
"2019-03-15 00:00:00",954,9.14,96.3,18.96,0.5,0.5,240.9,135,12.72,817,2.209,171.9
"2019-03-16 00:00:00",955,6.796,92.7,19.41,0.5,0.9,153.2,79.33,12.7,817,2.59,3.395
"2019-03-17 00:00:00",956,3.678,89.3,18.49,0,0.1,150.5,82.9,12.72,816,3.273,172
"2019-03-18 00:00:00",957,8.8,97.8,18.29,0,0.2,139.2,74.86,12.72,817,1.962,168.6
"2019-03-19 00:00:00",958,11.5,96.2,19.06,1,0.6,177.4,97.7,12.7,816,1.032,165.7
"2019-03-20 00:00:00",959,11.53,94.4,19.5,0,0.2,206.4,114,12.69,816,1.664,149.7
"2019-03-21 00:00:00",960,15.97,71.01,20.11,0,0,477.4,267.5,12.72,817,1.365,159.1
"2019-03-22 00:00:00",961,17.58,57.47,21.62,0,0,496.8,279.2,12.7,817,0.629,91.3
"2019-03-23 00:00:00",962,10.99,99.1,22,2.5,3.7,122.3,66.68,12.7,815,0.316,170
"2019-03-24 00:00:00",963,8.64,97.8,21.03,3,3.4,225.1,122.2,12.76,816,1.645,114.8
"2019-03-25 00:00:00",964,6.98,98.3,19.97,6,6.3,189,101,12.76,815,1.13,170
"2019-03-26 00:00:00",965,9.69,97.3,19.68,2.5,3.2,87.1,45.13,12.76,815,0.727,2.269
"2019-03-27 00:00:00",966,11.46,74.48,19.51,0.5,0.1,399.6,225.8,12.74,819,0.591,158.7
"2019-03-28 00:00:00",967,14.22,66.54,20.19,0,0,449,257.2,12.71,819,0.55,162.1
"2019-03-29 00:00:00",968,15.92,69.02,21.37,0,0,433.9,252.5,12.7,816,0.455,1.485
"2019-03-30 00:00:00",969,14.44,73.41,21.83,0,0.6,241.7,137.7,12.7,813,0.396,163.4
"2019-03-31 00:00:00",970,12.24,96.3,21.48,7,7.3,247.8,140.7,12.72,815,0.672,176.1
"2019-04-01 00:00:00",971,8.2,99.9,21.04,4.5,5.3,138.6,78.26,12.72,817,1.726,13.41
"2019-04-02 00:00:00",972,6.339,100,20.02,7,6.7,95.1,49.46,12.72,817,0.598,26.04
"2019-04-03 00:00:00",973,8.83,99,19.5,0,0.4,207.6,118.5,12.71,817,1.75,176.8
"2019-04-04 00:00:00",974,11.42,97,19.85,4.5,5,171.7,95.9,12.68,817,0.349,43
"2019-04-05 00:00:00",975,12.88,95.8,20.37,0.5,0.2,245.5,142.5,12.71,817,0.682,160.4
"2019-04-06 00:00:00",976,13.69,94.1,20.91,0.5,1.2,211.9,119.3,12.7,815,0.228,63.61
"2019-04-07 00:00:00",977,13.99,82.3,21.22,0,0.2,453.1,254.3,12.7,816,0.404,164
"2019-04-08 00:00:00",978,15.64,70.79,21.68,0,0,342.1,197.5,12.71,816,0.445,213.2
"2019-04-09 00:00:00",979,14.36,83.4,21.94,0,0,299,172.6,12.73,817,0.344,163.1
"2019-04-10 00:00:00",980,17.59,56.62,22.11,0,0,448.9,258.7,12.73,816,0.403,197.8
"2019-04-11 00:00:00",981,17.94,68.99,22.91,0,0.7,418.2,241.9,12.73,816,0.987,186.6
"2019-04-12 00:00:00",982,15.01,90.1,23.36,2.5,2.7,430.2,248,12.74,814,1.314,156.9
"2019-04-13 00:00:00",983,12.45,94.8,23.3,0,0.2,345.9,195.8,12.75,816,0.995,171.9
