"TOA5","21814","CR1000","21814","CR1000.Std.16","CPU:EL-bouy.cr1","60897","Table1"
"TIMESTAMP","RECORD","BattV","PTemp_C","WS_S_WVT","WD_D1_WVT","C_25cm_Avg","DO_25cm_Avg","DOppm25cm_Avg","C_200cm_Avg","DO_200cm_Avg","DOppm_200_Avg","T_0CM_Avg","T_25CM_Avg","T_50CM_Avg","T_100CM_Avg","T_200CM_Avg","T_350CM_Avg"
"TS","RN","Volts","Deg C","mV","Deg","Units","Units","Units","Units","Units","Units","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-18 00:00:00",250320,12.94,9.48,0.445,236.6,11.64,72.14,7.838,11.72,75.17,8.15,11.76,11.56,11.33,11.1,11.57,11.25
"2019-03-18 00:10:00",250321,12.93,9.5,0.318,199.4,11.63,72.13,7.838,11.7,75.31,8.17,11.76,11.55,11.34,11.1,11.57,11.24
"2019-03-18 00:20:00",250322,12.93,9.5,0.246,272.4,11.63,71.56,7.778,11.69,75.06,8.15,11.74,11.54,11.32,11.1,11.56,11.24
"2019-03-18 00:30:00",250323,12.93,9.52,0.392,247.6,11.62,70.82,7.699,11.68,75.02,8.14,11.74,11.54,11.33,11.1,11.55,11.24
"2019-03-18 00:40:00",250324,12.92,9.55,0.626,177.4,11.62,71,7.718,11.67,74.82,8.12,11.75,11.53,11.33,11.09,11.55,11.23
"2019-03-18 00:50:00",250325,12.93,9.57,0.524,267.4,11.62,71.02,7.721,11.66,74.88,8.13,11.74,11.54,11.33,11.08,11.55,11.23
"2019-03-18 01:00:00",250326,12.92,9.59,0.471,203.3,11.61,70.7,7.687,11.65,74.72,8.12,11.73,11.54,11.32,11.08,11.55,11.22
"2019-03-18 01:10:00",250327,12.92,9.59,0.677,264.2,11.6,70.3,7.645,11.64,74.4,8.08,11.71,11.52,11.29,11.08,11.55,11.22
"2019-03-18 01:20:00",250328,12.92,9.62,0.612,228.4,11.59,70.27,7.644,11.63,74.67,8.12,11.71,11.53,11.28,11.08,11.54,11.22
"2019-03-18 01:30:00",250329,12.92,9.64,0.601,284.3,11.58,71.44,7.773,11.62,74.6,8.11,11.7,11.51,11.26,11.08,11.53,11.2
"2019-03-18 01:40:00",250330,12.91,9.66,0.271,247.1,11.57,73.06,7.951,11.61,74.49,8.1,11.69,11.51,11.24,11.07,11.53,11.2
"2019-03-18 01:50:00",250331,12.91,9.68,0.352,227.6,11.57,72.86,7.93,11.6,73.99,8.05,11.67,11.52,11.26,11.07,11.52,11.2
"2019-03-18 02:00:00",250332,12.9,9.71,0.535,240.2,11.55,71.77,7.814,11.59,73.96,8.05,11.66,11.52,11.25,11.08,11.51,11.2
"2019-03-18 02:10:00",250333,12.9,9.73,0.801,262.2,11.54,72.3,7.874,11.56,74.48,8.11,11.65,11.53,11.26,11.08,11.52,11.2
"2019-03-18 02:20:00",250334,12.9,9.75,1.677,207.4,11.53,73.91,8.05,11.56,75.59,8.23,11.66,11.55,11.36,11.11,11.53,11.2
"2019-03-18 02:30:00",250335,12.9,9.79,1.187,226.7,11.52,73.72,8.03,11.56,76.1,8.28,11.65,11.52,11.32,11.09,11.51,11.2
"2019-03-18 02:40:00",250336,12.9,9.84,0.738,258.1,11.52,74.13,8.08,11.54,75.91,8.27,11.64,11.51,11.3,11.08,11.51,11.2
"2019-03-18 02:50:00",250337,12.89,9.88,0.639,266.3,11.5,74.07,8.07,11.53,75.61,8.23,11.62,11.5,11.29,11.08,11.5,11.19
"2019-03-18 03:00:00",250338,12.88,9.93,0.467,6.603,11.49,73.82,8.05,11.52,75.51,8.23,11.61,11.45,11.26,11.07,11.48,11.18
"2019-03-18 03:10:00",250339,12.89,9.97,0.343,296.8,11.49,73.49,8.01,11.52,75.37,8.21,11.61,11.44,11.27,11.06,11.46,11.18
"2019-03-18 03:20:00",250340,12.89,10.02,0.266,285.5,11.49,73,7.959,11.52,74.9,8.16,11.6,11.45,11.25,11.05,11.45,11.18
"2019-03-18 03:30:00",250341,12.88,10.04,0.404,245.1,11.48,73.13,7.973,11.51,74.5,8.12,11.6,11.46,11.25,11.05,11.44,11.19
"2019-03-18 03:40:00",250342,12.88,10.06,0.266,234.4,11.48,73.45,8.01,11.51,74.07,8.07,11.59,11.46,11.27,11.05,11.44,11.2
"2019-03-18 03:50:00",250343,12.87,10.09,0.392,266.5,11.48,73.21,7.984,11.5,74.33,8.1,11.6,11.46,11.24,11.06,11.43,11.21
"2019-03-18 04:00:00",250344,12.87,10.09,0.429,205.5,11.48,72.75,7.934,11.5,74,8.07,11.59,11.46,11.22,11.08,11.42,11.2
"2019-03-18 04:10:00",250345,12.87,10.11,0.185,213.7,11.47,72.5,7.907,11.5,73.98,8.06,11.58,11.44,11.21,11.09,11.43,11.19
"2019-03-18 04:20:00",250346,12.86,10.09,0.168,201.8,11.47,72.1,7.864,11.49,73.91,8.06,11.58,11.44,11.23,11.09,11.44,11.2
"2019-03-18 04:30:00",250347,12.86,10.06,0.332,290.4,11.47,72.07,7.862,11.48,73.95,8.06,11.57,11.45,11.23,11.09,11.45,11.2
"2019-03-18 04:40:00",250348,12.86,10.04,0.664,234.2,11.46,72.13,7.87,11.47,74.11,8.08,11.56,11.48,11.23,11.1,11.47,11.2
"2019-03-18 04:50:00",250349,12.85,10.02,0.43,350.8,11.45,72.68,7.932,11.47,74.48,8.12,11.56,11.46,11.22,11.1,11.47,11.2
"2019-03-18 05:00:00",250350,12.85,10,0.265,314.8,11.45,72.59,7.922,11.46,74.31,8.11,11.56,11.46,11.22,11.11,11.47,11.19
"2019-03-18 05:10:00",250351,12.85,9.95,0.311,326.3,11.44,72.3,7.893,11.45,74.15,8.09,11.54,11.45,11.21,11.09,11.47,11.2
"2019-03-18 05:20:00",250352,12.84,9.91,0.377,309.3,11.42,72.29,7.895,11.44,74.28,8.11,11.52,11.43,11.24,11.08,11.47,11.2
"2019-03-18 05:30:00",250353,12.84,9.86,0.188,148.4,11.41,72.39,7.907,11.42,73.87,8.07,11.52,11.42,11.23,11.1,11.46,11.2
"2019-03-18 05:40:00",250354,12.84,9.82,0.147,54.51,11.41,72.14,7.88,11.42,73.64,8.04,11.52,11.43,11.24,11.11,11.46,11.2
"2019-03-18 05:50:00",250355,12.84,9.82,0.347,313.9,11.41,72.09,7.875,11.42,74.13,8.1,11.52,11.42,11.26,11.11,11.46,11.21
"2019-03-18 06:00:00",250356,12.83,9.79,0.396,258.1,11.41,72.2,7.887,11.42,74.28,8.11,11.52,11.42,11.27,11.12,11.46,11.25
"2019-03-18 06:10:00",250357,12.83,9.79,0.646,340.4,11.4,72.78,7.952,11.42,74.49,8.14,11.51,11.42,11.28,11.12,11.46,11.23
"2019-03-18 06:20:00",250358,12.83,9.79,0.326,358.7,11.39,72.79,7.954,11.41,74.85,8.18,11.5,11.42,11.27,11.11,11.46,11.22
"2019-03-18 06:30:00",250359,12.83,9.82,0.646,351.7,11.39,72.79,7.954,11.41,74.94,8.19,11.51,11.4,11.26,11.11,11.46,11.23
"2019-03-18 06:40:00",250360,12.85,9.84,0.556,330.1,11.4,72.75,7.948,11.41,75.47,8.24,11.51,11.41,11.26,11.1,11.46,11.24
"2019-03-18 06:50:00",250361,12.86,9.88,0.475,43.89,11.39,72.58,7.93,11.41,75.48,8.24,11.51,11.4,11.3,11.09,11.46,11.24
"2019-03-18 07:00:00",250362,12.84,9.95,0.269,160.1,11.39,72.8,7.956,11.41,75.32,8.23,11.5,11.41,11.3,11.1,11.47,11.25
"2019-03-18 07:10:00",250363,12.82,10,0.177,327,11.39,72.93,7.97,11.41,75.02,8.19,11.5,11.41,11.3,11.1,11.47,11.23
"2019-03-18 07:20:00",250364,12.82,10.06,0.195,303.2,11.39,72.79,7.956,11.41,74.9,8.18,11.5,11.41,11.3,11.09,11.47,11.24
"2019-03-18 07:30:00",250365,12.82,10.13,0.287,183,11.39,72.73,7.948,11.41,75.13,8.21,11.5,11.41,11.3,11.09,11.47,11.24
"2019-03-18 07:40:00",250366,12.9,10.2,0.358,351.9,11.39,72.74,7.949,11.41,75.35,8.23,11.5,11.4,11.3,11.09,11.47,11.24
"2019-03-18 07:50:00",250367,13.4,10.29,0.202,328,11.4,72.96,7.972,11.44,76.86,8.39,11.52,11.4,11.31,11.09,11.47,11.27
"2019-03-18 08:00:00",250368,13.37,10.49,0.527,107.1,11.41,73.18,7.992,11.47,77.97,8.5,11.53,11.41,11.33,11.09,11.48,11.27
"2019-03-18 08:10:00",250369,13.24,10.72,0.699,222.8,11.42,74.04,8.09,11.47,77.04,8.4,11.54,11.41,11.34,11.11,11.48,11.27
"2019-03-18 08:20:00",250370,13.19,10.9,0.407,237.8,11.41,74.09,8.09,11.47,76.36,8.33,11.54,11.4,11.35,11.09,11.47,11.27
