"TOA5","21814","CR1000","21814","CR1000.Std.16","CPU:EL-bouy.cr1","60897","Table2"
"TIMESTAMP","RECORD","BattV_Min","BattV","PTemp_C","WS_S_WVT","WD_D1_WVT","C_25cm_Avg","DO_25cm_Avg","DOppm25cm_Avg","C_200cm_Avg","DO_200cm_Avg","DOppm_200_Avg","T_0CM_Avg","T_25CM_Avg","T_50CM_Avg","T_100CM_Avg","T_200CM_Avg","T_350CM_Avg"
"TS","RN","Volts","Volts","Deg C","mV","Deg","Units","Units","Units","Units","Units","Units","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Min","Smp","Smp","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-18 00:00:00",41720,12.93,12.94,9.48,0.38,199.1,11.65,72.45,7.871,11.75,75.33,8.16,11.77,11.57,11.35,11.11,11.59,11.25
"2019-03-18 01:00:00",41721,12.92,12.92,9.59,0.429,230.4,11.62,71.21,7.74,11.67,74.97,8.14,11.74,11.54,11.33,11.09,11.56,11.24
"2019-03-18 02:00:00",41722,12.9,12.9,9.71,0.508,246.4,11.58,71.62,7.793,11.62,74.35,8.08,11.69,11.52,11.26,11.08,11.53,11.21
"2019-03-18 03:00:00",41723,12.88,12.88,9.93,0.918,243.5,11.52,73.66,8.03,11.54,75.53,8.22,11.64,11.51,11.3,11.09,11.51,11.19
"2019-03-18 04:00:00",41724,12.86,12.87,10.09,0.35,258.6,11.48,73.17,7.979,11.51,74.53,8.12,11.6,11.46,11.25,11.06,11.44,11.19
"2019-03-18 05:00:00",41725,12.85,12.85,10,0.341,254.3,11.46,72.34,7.893,11.48,74.12,8.08,11.57,11.46,11.22,11.1,11.45,11.2
"2019-03-18 06:00:00",41726,12.82,12.83,9.79,0.294,347,11.41,72.24,7.889,11.43,74.06,8.09,11.53,11.43,11.24,11.1,11.46,11.21
"2019-03-18 07:00:00",41727,12.81,12.84,9.95,0.486,4.251,11.39,72.75,7.949,11.41,75.09,8.2,11.51,11.41,11.28,11.1,11.46,11.23
"2019-03-18 08:00:00",41728,12.81,13.37,10.49,0.291,326.8,11.39,72.89,7.964,11.42,75.87,8.28,11.51,11.41,11.31,11.09,11.47,11.25
"2019-03-18 09:00:00",41729,13.16,13.61,11.31,0.505,257.9,11.41,73.68,8.05,11.49,76.74,8.37,11.54,11.4,11.33,11.08,11.47,11.26
"2019-03-18 10:00:00",41730,13.56,14.44,12.7,0.321,346.6,11.46,73.72,8.04,11.62,79.11,8.6,11.59,11.43,11.31,11.09,11.5,11.23
"2019-03-18 11:00:00",41731,13.68,14.29,14.85,2.557,61.33,11.84,75.99,8.22,12.02,79.86,8.6,11.91,11.65,11.48,11.15,11.7,11.34
"2019-03-18 12:00:00",41732,13.67,13.9,15.85,2.913,65.73,12.07,76.83,8.27,12.11,79.74,8.57,12.21,12.1,12.08,11.95,12.15,12.05
"2019-03-18 13:00:00",41733,13.68,13.83,16.61,2.602,50.27,12.54,78.21,8.33,12.52,80.7,8.59,12.67,12.51,12.37,11.77,12.52,12.3
"2019-03-18 14:00:00",41734,13.65,13.99,17.04,2.419,64.99,12.97,78.83,8.31,13.11,81.8,8.6,13.05,12.78,12.6,11.91,12.82,12.37
"2019-03-18 15:00:00",41735,13.67,13.71,17.01,2.14,54.68,13.29,79.58,8.33,13.62,83,8.62,13.35,12.92,12.68,12.13,12.89,12.62
"2019-03-18 16:00:00",41736,13.65,14.35,16.24,1.556,40,13.33,79.01,8.26,13.85,82.8,8.56,13.4,13,12.85,11.91,13,12.79
"2019-03-18 17:00:00",41737,13.67,14.11,16.07,1.751,57.03,13.24,77.82,8.16,14.31,83.9,8.59,13.29,12.93,12.88,11.7,13.02,12.91
"2019-03-18 18:00:00",41738,13.14,13.15,14.97,1.351,64.47,13.71,79.72,8.27,14.18,82.6,8.47,13.75,13.22,12.99,11.65,13.23,12.79
"2019-03-18 19:00:00",41739,13.02,13.03,13.73,0.574,240.4,13.31,77.04,8.06,13.76,79.77,8.26,13.38,13.18,12.75,11.64,13.23,12.36
"2019-03-18 20:00:00",41740,12.99,12.99,12.35,0.599,239,13.17,75.57,7.932,13.58,78.36,8.15,13.28,12.99,12.62,11.81,13,12.36
"2019-03-18 21:00:00",41741,12.96,12.96,11.22,0.328,244,13.1,74.76,7.858,13.37,76.81,8.03,13.22,12.98,12.6,11.71,12.97,12.36
"2019-03-18 22:00:00",41742,12.95,12.95,10.34,0.32,215.7,13.09,73.94,7.776,13.29,77.76,8.14,13.19,12.98,12.58,11.75,12.94,12.36
"2019-03-18 23:00:00",41743,12.94,12.94,9.75,0.364,231.6,13.06,74.18,7.805,13.11,77.65,8.16,13.15,12.93,12.55,11.67,12.92,12.33
"2019-03-19 00:00:00",41744,12.92,12.93,9.26,0.211,198.7,12.94,74,7.807,12.96,76.36,8.05,13.02,12.92,12.54,11.63,12.94,12.3
"2019-03-19 01:00:00",41745,12.9,12.91,8.88,0.285,205,12.8,74.4,7.873,12.81,76.55,8.1,12.89,12.81,12.58,11.64,12.88,12.29
"2019-03-19 02:00:00",41746,12.89,12.89,8.66,0.389,218.3,12.67,75.22,7.983,12.69,76.38,8.1,12.76,12.68,12.64,11.68,12.77,12.27
"2019-03-19 03:00:00",41747,12.87,12.88,8.46,0.333,215.1,12.55,75.42,8.03,12.57,76.47,8.13,12.65,12.57,12.58,11.66,12.65,12.24
"2019-03-19 04:00:00",41748,12.85,12.86,8.3,0.271,204.5,12.45,74.97,7.996,12.47,75.88,8.09,12.55,12.47,12.49,11.67,12.56,12.29
"2019-03-19 05:00:00",41749,12.83,12.84,8.13,0.28,197.6,12.35,74.6,7.974,12.37,76.05,8.13,12.45,12.37,12.4,11.68,12.45,12.36
"2019-03-19 06:00:00",41750,12.81,12.81,7.927,0.335,222,12.25,74.52,7.985,12.26,76.21,8.17,12.36,12.27,12.3,11.67,12.36,12.35
"2019-03-19 07:00:00",41751,12.8,13.27,8.23,0.429,205.3,12.17,75.33,8.09,12.18,77.82,8.35,12.28,12.19,12.22,11.67,12.28,12.29
"2019-03-19 08:00:00",41752,13.29,13.73,11.24,0.364,140,12.18,74.95,8.04,12.28,81.3,8.71,12.33,12.22,12.23,11.66,12.31,12.29
"2019-03-19 09:00:00",41753,13.68,14.2,15.68,1.137,43.33,12.35,77.46,8.28,12.62,80.8,8.59,12.49,12.31,12.29,11.67,12.45,12.32
"2019-03-19 10:00:00",41754,13.67,14.49,17.79,2.386,60.44,12.97,79.75,8.41,13.05,81.8,8.6,13.06,12.71,12.56,11.81,12.69,12.37
"2019-03-19 11:00:00",41755,13.67,13.78,18.56,2.418,60.06,13.34,81.5,8.52,13.36,83.4,8.72,13.45,13.3,13.29,11.78,13.36,13.08
"2019-03-19 12:00:00",41756,13.66,14.36,17.66,2.689,62.73,13.9,83,8.57,13.92,84.8,8.76,14,13.83,13.76,12.09,13.86,13.37
"2019-03-19 13:00:00",41757,13.67,13.77,17.34,2.353,70.17,14.27,83.8,8.58,14.48,85.7,8.74,14.36,14.1,13.76,12.04,14.14,13.51
"2019-03-19 14:00:00",41758,13.65,13.82,16.71,2.892,70.14,14.84,85.1,8.61,15.14,87,8.75,14.9,14.64,14.07,12.23,14.65,13.83
"2019-03-19 15:00:00",41759,13.66,13.73,16.41,2.614,71.5,15.14,85.8,8.63,15.51,87.5,8.72,15.4,15.47,15.39,14.36,14.78,14.23
"2019-03-19 16:00:00",41760,13.66,13.85,16.46,2.803,77.55,15.74,86.8,8.61,16.2,88.3,8.68,16.32,16.51,16.6,16.35,14.85,14.15
"2019-03-19 17:00:00",41761,13.67,14.33,15.82,2.285,69.09,15.9,87.1,8.61,16.31,88.2,8.65,16.15,16.46,16.7,16.4,15.36,13.55
"2019-03-19 18:00:00",41762,13.14,13.14,14.42,1.74,28.53,15.52,85.8,8.55,15.88,86.5,8.56,15.71,16.68,16.88,16.11,15.35,13.43
"2019-03-19 19:00:00",41763,13.01,13.01,13.09,1.011,346.5,15.32,84.2,8.43,15.93,85.4,8.44,15.65,16.28,16.54,16.05,14.98,13.24
"2019-03-19 20:00:00",41764,12.97,12.98,11.79,0.559,255.5,15.26,82.8,8.3,15.6,83.4,8.3,15.53,15.95,16.21,15.75,14.83,13.19
"2019-03-19 21:00:00",41765,12.95,12.95,10.83,0.563,206.3,"NAN",83.1,8.37,15.45,82.6,8.25,15.37,15.59,15.79,15.54,14.77,13.27
"2019-03-19 22:00:00",41766,12.92,12.94,10.13,0.635,190.4,"NAN",82.6,8.33,15.38,83.7,8.37,15.36,15.38,15.42,15.48,14.71,13.14
"2019-03-19 23:00:00",41767,12.92,12.93,9.66,0.557,222.8,"NAN",82.6,8.33,15.06,83.1,8.37,15.11,15.08,15.12,15.19,14.66,13.13
