"TOA5","21814","CR1000","21814","CR1000.Std.16","CPU:EL-bouy.cr1","60897","Table3"
"TIMESTAMP","RECORD","BattV","PTemp_C","WS_S_WVT","WD_D1_WVT","C_25cm_Avg","DO_25cm_Avg","DOppm25cm_Avg","C_200cm_Avg","DO_200cm_Avg","DOppm_200_Avg","T_0CM_Avg","T_25CM_Avg","T_50CM_Avg","T_100CM_Avg","T_200CM_Avg","T_350CM_Avg"
"TS","RN","Volts","Deg C","mV","Deg","Units","Units","Units","Units","Units","Units","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-03-18 00:00:00",1738,12.94,9.48,0.721,7.103,11.45,72.83,7.947,11.57,75.14,8.18,11.57,11.39,11.3,11.1,11.44,11.24
"2019-03-19 00:00:00",1739,12.93,9.26,1.005,320.6,12.35,75.11,8.03,12.54,78.14,8.32,12.45,12.23,12.02,11.47,12.26,11.89
"2019-03-20 00:00:00",1740,12.91,9.28,1.246,145.6,"NAN",80.6,8.31,14.1,82.1,8.44,14.08,14.11,14.11,13.38,13.76,12.97
"2019-03-21 00:00:00",1741,12.91,10.58,1.272,139.3,"NAN",85.8,8.49,15.99,86.8,8.57,15.93,16.1,16.23,16.13,15.23,13.44
"2019-03-22 00:00:00",1742,12.91,11.61,1.23,162.7,17.04,88.9,8.58,17.74,89.6,8.54,17.45,17.97,18.21,17.82,16.45,14.04
"2019-03-23 00:00:00",1743,12.9,10.54,1.449,56.99,16.85,89.9,8.72,16.86,89.8,8.7,16.91,16.9,16.93,17.01,16.75,14.44
"2019-03-24 00:00:00",1744,12.89,5.334,1.83,40.96,15.25,86.5,8.67,15.26,86.9,8.72,15.32,15.29,15.32,15.39,15.3,14.75
"2019-03-25 00:00:00",1745,12.91,10.4,1.287,21.97,13.53,82.8,8.62,13.56,84,8.74,13.63,13.58,13.61,13.72,13.61,13.43
"2019-03-26 00:00:00",1746,12.88,7.706,1.233,249.1,12.88,80.5,8.5,12.92,82.3,8.69,12.97,12.91,12.93,13.07,12.94,12.59
"2019-03-27 00:00:00",1747,12.91,8.37,1.288,162.6,13.38,78.49,8.2,13.6,80.7,8.39,13.44,13.4,13.36,13.73,13.33,12.76
"2019-03-28 00:00:00",1748,12.91,10.38,1.261,129,14.94,84.1,8.49,15.36,85.2,8.53,14.97,15,14.9,15.5,14.86,13.71
"2019-03-29 00:00:00",1749,12.91,10.83,1.398,89.9,16.69,88,8.56,16.92,88.1,8.53,16.73,16.72,16.54,17.09,16.55,14.68
"2019-03-30 00:00:00",1750,12.92,13.07,1.048,59.41,17,88.4,8.54,17.19,89.2,8.58,16.97,16.95,16.73,17.4,16.91,15.16
"2019-03-31 00:00:00",1751,12.91,11.68,1.504,76.94,16.96,88,8.51,17.07,88.3,8.52,16.98,17,16.83,17.23,16.89,15.27
"2019-04-01 00:00:00",1752,12.8,8.21,1.317,37.06,15.71,85.4,8.48,15.72,85.8,8.51,15.76,15.73,15.73,15.85,15.78,15.18
"2019-04-02 00:00:00",1753,12.75,7.686,1.281,44.86,13.75,81.4,8.43,13.77,82.6,8.55,13.84,13.78,13.82,13.89,13.87,13.88
"2019-04-03 00:00:00",1754,12.93,11.91,1.081,23.7,13.52,79.48,8.28,13.6,81.4,8.46,13.59,13.57,13.49,13.77,13.53,13.25
"2019-04-04 00:00:00",1755,12.91,12.81,0.88,29.24,14.06,80.9,8.33,14.19,82.6,8.47,14.1,14.06,13.91,14.38,14.02,13.36
"2019-04-05 00:00:00",1756,12.93,13.92,0.852,66.45,15,82.5,8.32,15.48,86.2,8.6,14.96,14.94,14.58,15.68,14.83,13.63
"2019-04-06 00:00:00",1757,12.92,11.08,1.06,231.5,16.19,85.3,8.38,16.43,87.3,8.53,16.07,16.07,15.38,16.65,15.8,14.02
"2019-04-07 00:00:00",1758,12.9,9.44,1.245,91.7,16.76,87.1,8.46,16.98,88.3,8.53,16.77,16.82,16.44,17.17,16.64,14.92
"2019-04-08 00:00:00",1759,12.92,12.02,1.108,151.6,17.31,88.6,8.51,17.58,89.2,8.51,17.3,17.36,17.13,17.74,17.19,15.62
"2019-04-09 00:00:00",1760,12.9,11.13,0.924,125.7,17.97,90,8.53,18.27,90.4,8.51,17.95,18.06,17.76,18.43,17.86,16.09
"2019-04-10 00:00:00",1761,12.92,12.53,1.185,101.5,18.65,92,8.59,18.89,92.3,8.58,18.64,18.71,18.43,19.06,18.55,16.67
"2019-04-11 00:00:00",1762,12.88,13.23,1.859,67.36,"NAN",95.9,8.78,19.61,94,8.61,19.51,19.57,19.44,19.73,19.54,17.44
"2019-04-12 00:00:00",1763,12.92,13.21,1.643,40.45,"NAN",99.6,8.86,20.02,93.9,8.54,19.94,20,19.89,20.16,19.99,18.58
"2019-04-13 00:00:00",1764,12.9,11.7,1.577,48.22,"NAN",99.6,8.86,19.24,93,8.58,19.2,19.22,19.2,19.36,19.27,18.85
"2019-04-14 00:00:00",1765,12.85,13.59,1.192,95,"NAN",99.6,8.86,18.35,91.8,8.62,18.31,18.31,18.21,18.5,18.36,17.75
"2019-04-15 00:00:00",1766,12.9,13.02,1.074,53.95,"NAN",99.6,8.86,18.28,90.3,8.49,18.05,18.07,17.76,18.39,18.03,17.17
"2019-04-16 00:00:00",1767,12.88,11.7,1.255,58.34,"NAN",99.6,8.86,16.87,87,8.43,16.88,16.87,16.83,16.99,16.93,16.72
"2019-04-17 00:00:00",1768,12.92,12.7,0.654,306.1,"NAN",99.6,8.86,15.84,85.2,8.44,15.8,15.78,15.58,15.97,15.74,15.38
"2019-04-18 00:00:00",1769,12.9,9.21,1.364,156.3,"NAN",99.6,8.86,16.19,82.5,8.11,15.88,15.92,15.3,16.29,15.71,14.65
"2019-04-19 00:00:00",1770,12.9,12.07,1.133,37.28,"NAN",99.6,8.86,16.99,82.1,7.942,16.38,16.44,15.83,16.99,16.29,15.17
"2019-04-20 00:00:00",1771,12.89,13.78,0.922,249.2,"NAN",99.6,8.86,17.44,82.9,7.936,16.79,16.86,16.09,17.41,16.61,15.32
"2019-04-21 00:00:00",1772,12.92,15.29,1.175,107.2,"NAN",99.6,8.86,18.29,84.9,7.987,17.52,17.7,16.5,18.37,17.15,15.45
"2019-04-22 00:00:00",1773,12.92,14.04,0.96,232.4,"NAN",99.6,8.86,18.25,83.2,7.834,17.24,17.46,16.32,18.11,16.71,15.5
"2019-04-23 00:00:00",1774,12.91,15.87,0.838,78.6,"NAN",99.6,8.86,18.16,80.5,7.601,17.15,17.31,16.26,18.06,16.78,15.38
"2019-04-24 00:00:00",1775,12.92,15.12,0.996,72.12,"NAN",99.6,8.86,19.6,82.9,7.591,18.14,18.49,16.95,19.47,17.69,15.58
"2019-04-25 00:00:00",1776,12.91,13.52,1.137,133.7,"NAN",99.6,8.86,21.08,85.8,7.634,19.61,20.04,18.12,21.02,19.06,16.12
"2019-04-26 00:00:00",1777,12.92,13.52,1.129,134.8,"NAN",99.6,8.86,21.63,87.5,7.704,20.43,20.78,18.89,21.66,19.95,16.82
"2019-04-27 00:00:00",1778,12.91,16.41,0.937,28.15,"NAN",99.6,8.86,21.11,86,7.653,20.46,20.63,19.41,21.22,20.23,17.4
"2019-04-28 00:00:00",1779,12.82,14.88,0.956,1.662,"NAN",99.6,8.86,19.67,84.1,7.695,19.51,19.59,18.81,19.78,19.38,17.46
"2019-04-29 00:00:00",1780,12.91,14.47,0.844,188.5,"NAN",99.6,8.86,18.91,83.8,7.785,18.42,18.5,17.75,18.96,18.22,16.87
"2019-04-30 00:00:00",1781,12.92,13.94,0.818,64.84,"NAN",99.6,8.86,19.18,84.8,7.83,18.51,18.62,17.8,19.2,18.35,16.79
"2019-05-01 00:00:00",1782,12.92,16.12,0.959,57.3,"NAN",99.6,8.86,20.03,87,7.904,19.16,19.3,18.47,19.98,19.05,17.11
"2019-05-02 00:00:00",1783,12.87,11.7,1.101,29.65,"NAN",99.6,8.86,19.26,86.4,7.975,19.01,19.13,18.34,19.39,18.75,17.13
"2019-05-03 00:00:00",1784,12.75,10.63,0.917,3.944,"NAN",99.6,8.86,16.33,77.44,7.59,16.31,16.3,16.09,16.45,16.27,15.78
"2019-05-04 00:00:00",1785,12.75,9.93,1.14,28.27,"NAN",99.6,8.86,13.42,65.22,6.809,13.29,13.27,13.11,13.58,13.22,12.93
"2019-05-05 00:00:00",1786,12.8,11.27,0.911,37.82,"NAN",99.6,8.86,12.6,68.01,7.229,12.66,12.59,12.58,12.76,12.63,12.55
"2019-05-06 00:00:00",1787,12.92,12.46,0.847,28.12,"NAN",99.6,8.86,13.34,67.83,7.093,13.11,13.09,12.94,13.44,13.05,12.7
"2019-05-07 00:00:00",1788,12.76,10.88,1.237,10.5,"NAN",99.6,8.86,13.36,69.95,7.312,13.32,13.29,13.14,13.51,13.25,12.9
