"TOA5","21434","CR1000","21434","CR1000.Std.15","CPU:EL-RD1030613.CR1","49067","Table2"
"TIMESTAMP","RECORD","AirTC_Avg","RH_Avg","Soil_T_Avg","Rain_05mm_Tot","Rain_01mm_Tot","Solar_q1_Avg","Solar_Wm2_Avg","BattV","Press_bar_Avg","WS_ms_S_WVT","WindDir_D1_WVT"
"TS","RN","Deg C","%","Deg C","Counts/Hz","mm","mV","mV","Volts","mV","meters/second","Deg"
"","","Avg","Avg","Avg","Tot","Tot","Avg","Avg","Smp","Avg","WVc","WVc"
"2019-03-07 00:00:00",41458,8.56,100,12.24,2,0,0,0,12.84,833,1.109,281.4
"2019-03-07 01:00:00",41459,8.39,100,12.05,1,0,0,0,12.82,833,0.434,2.146
"2019-03-07 02:00:00",41460,7.416,100,11.93,1.5,0,0,0,12.81,832,0.562,137.5
"2019-03-07 03:00:00",41461,6.675,100,11.77,3,0,0,0,12.8,831,0.279,101.2
"2019-03-07 04:00:00",41462,6.411,100,11.55,1,0,0,0,12.79,831,0.519,119.8
"2019-03-07 05:00:00",41463,6.215,100,11.37,4,0,0,0,12.78,831,0.371,135.3
"2019-03-07 06:00:00",41464,6.121,100,11.17,0,0,0,0,12.78,831,0.529,149.5
"2019-03-07 07:00:00",41465,5.961,100,11.05,0,0,4.746,0,12.76,832,0.369,129.7
"2019-03-07 08:00:00",41466,6.128,100,10.95,4,0,28.24,0,12.76,833,0.233,142.3
"2019-03-07 09:00:00",41467,5.825,100,10.8,3.5,0,50.84,0.068,12.76,834,0.327,134.6
"2019-03-07 10:00:00",41468,5.749,100,10.63,7.5,0,102.9,1.767,12.95,835,0.334,117.6
"2019-03-07 11:00:00",41469,5.747,100,10.43,3,0,189.8,8.06,13.31,834,0.529,136
"2019-03-07 12:00:00",41470,6.393,100,10.41,0.5,0,332,22.11,13.5,834,0.68,145.9
"2019-03-07 13:00:00",41471,6.32,100,10.56,0.5,0,223.6,13.46,13.28,834,0.424,152.3
"2019-03-07 14:00:00",41472,5.377,100,10.65,0,0,96.2,2.591,13.09,832,0.38,144.8
"2019-03-07 15:00:00",41473,4.841,100,10.63,1,0,112.1,3.784,13.09,831,0.752,140.6
"2019-03-07 16:00:00",41474,4.411,100,10.56,0,0,57.34,0.17,12.96,831,0.36,151.5
"2019-03-07 17:00:00",41475,3.732,100,10.47,1,0,45.69,0.035,12.91,831,0.436,136.5
"2019-03-07 18:00:00",41476,3.558,100,10.34,2,0,13.77,0,12.87,831,0.512,129.2
"2019-03-07 19:00:00",41477,3.39,100,10.15,2,0,0,0,12.83,832,0.426,130.2
"2019-03-07 20:00:00",41478,3.286,100,9.96,1.5,0,0,0,12.81,833,0.12,117.9
"2019-03-07 21:00:00",41479,3.526,100,9.81,0.5,0,0,0,12.78,832,0.326,118.8
"2019-03-07 22:00:00",41480,3.371,100,9.73,1,0,0,0,12.77,832,0.461,122.9
"2019-03-07 23:00:00",41481,3.31,100,9.64,2,0,0,0,12.75,832,0.329,141.7
"2019-03-08 00:00:00",41482,3.043,100,9.52,0.5,0,0,0,12.74,832,0.474,141.5
"2019-03-08 01:00:00",41483,3.075,100,9.4,1.5,0,0,0,12.74,832,0.366,129.2
"2019-03-08 02:00:00",41484,3.228,100,9.3,0.5,0,0,0,12.73,831,0.334,124
"2019-03-08 03:00:00",41485,3.611,100,9.22,1,0,0,0,12.72,831,0.166,114.3
"2019-03-08 04:00:00",41486,3.875,100,9.15,2,0,0,0,12.72,831,0.805,110.2
"2019-03-08 05:00:00",41487,4.389,100,9.07,3.5,0,0,0,12.72,832,0.706,129.1
"2019-03-08 06:00:00",41488,4.631,100,8.98,2,0,0,0,12.72,833,0.161,98.8
"2019-03-08 07:00:00",41489,4.894,100,8.92,1,0,15.8,0,12.72,833,0.101,109.1
"2019-03-08 08:00:00",41490,5.704,100,8.9,1,0,79.93,1.111,12.87,834,0.172,238.6
"2019-03-08 09:00:00",41491,6.719,100,8.94,0,0,215.5,10.59,13.19,835,0.389,115.6
"2019-03-08 10:00:00",41492,7.637,100,9.1,2,0,225.8,9.48,13.44,836,0.205,100.8
"2019-03-08 11:00:00",41493,9.27,100,9.28,1.5,0,367.3,21.7,13.63,836,0.256,110.8
"2019-03-08 12:00:00",41494,9.47,100,9.61,1.5,0,387.1,28.82,13.47,836,0.897,125.1
"2019-03-08 13:00:00",41495,9.51,100,9.98,3.5,0,255.3,12.92,13.95,836,0.303,133.4
"2019-03-08 14:00:00",41496,9.95,100,10.2,3.5,0,364,24.16,14,835,0.558,123
"2019-03-08 15:00:00",41497,9.62,100,10.46,1,0,184.1,10.45,13.28,834,0.46,120.3
